,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
5797,University of Phoenix-Central Florida Campus,Orlando,32819-9075,,0.181212833,0.189403974
5798,University of Phoenix-Oregon,Tigard,97223-8328,,0.181212833,0.189403974
5799,CET-El Paso,El Paso,79907,,0.327142857,0.257062147
5800,BCRI Career Training,Boise,83709,,0.153110048,0.43902439
5801,Maric College-Carson,Carson,90746,,0.679120879,0.681696189
5802,Brightwood College-Riverside,Riverside,92507-0000,,0.679120879,0.681696189
5803,Maric College-Los Angeles,Los Angeles,90010,,0.679120879,0.681696189
5804,Appalachian School of Law,Grundy,24614-2825,,,
5805,LIU Hudson at Westchester,Purchase,10577,,0.159970238,0.096820809
5806,Platt College-Ontario,Ontario,91764,,0.635897436,0.601626016
5807,Delaware College of Art and Design,Wilmington,19801-3007,,0.325842697,0.306666667
5808,Argosy University-The Art Institute of California-Los Angeles,Santa Monica,90405-3035,,0.277310924,0.26993865
